startTime,stopTime,bike,fromStationID,toStationID,userType,gender,birthYear
2014-07-31 23:56:00,2014-08-01 00:03:00,2602,291,53,Subscriber,Female,1979.0
2014-07-31 23:58:00,2014-08-01 00:07:00,2403,98,106,Subscriber,Male,1974.0
2014-07-31 23:58:00,2014-08-01 02:10:00,669,240,240,Customer,,
2014-07-31 23:58:00,2014-08-01 00:19:00,2431,47,14,Customer,,
2014-07-31 23:57:00,2014-08-01 02:10:00,2885,240,240,Customer,,
2014-07-31 23:57:00,2014-08-01 02:28:00,2307,28,28,Customer,,
2014-07-31 23:57:00,2014-08-01 01:37:00,192,255,181,Customer,,
2014-07-31 23:56:00,2014-08-01 00:16:00,1543,288,17,Customer,,
2014-07-31 23:56:00,2014-08-01 00:10:00,2801,29,47,Customer,,
2014-07-31 23:56:00,2014-08-01 02:29:00,3030,28,28,Customer,,
2014-07-31 23:56:00,2014-08-01 00:04:00,1422,246,326,Subscriber,Male,1988.0
2014-07-31 23:56:00,2014-08-01 00:04:00,1329,291,106,Subscriber,Female,1988.0
2014-07-31 23:56:00,2014-08-01 00:10:00,444,29,47,Customer,,
2014-07-31 23:56:00,2014-08-01 00:14:00,2920,113,289,Subscriber,Male,1986.0
2014-07-31 23:55:00,2014-08-01 00:13:00,1004,94,86,Subscriber,Female,1985.0
2014-07-31 23:55:00,2014-08-01 00:02:00,2992,268,85,Subscriber,Male,1991.0
2014-07-31 23:55:00,2014-08-01 02:28:00,936,28,28,Customer,,
2014-07-31 23:55:00,2014-08-01 00:02:00,1798,268,85,Customer,,
2014-07-31 23:54:00,2014-08-01 00:16:00,1061,288,17,Customer,,
2014-07-31 23:54:00,2014-08-01 00:06:00,195,74,75,Subscriber,Male,1959.0
2014-07-31 23:53:00,2014-07-31 23:59:00,2027,300,232,Subscriber,Male,1988.0
2014-07-31 23:53:00,2014-08-01 00:11:00,2965,213,80,Subscriber,Male,1990.0
2014-07-31 23:52:00,2014-08-01 00:05:00,477,47,134,Customer,,
2014-07-31 23:52:00,2014-08-01 00:14:00,2018,13,337,Customer,,
2014-07-31 23:52:00,2014-08-01 01:43:00,235,224,324,Customer,,
